,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
1166,20210331,3626,TIS Inc.,ＴＩＳ,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1173,20210331,3635,"KOEI TECMO HOLDINGS CO.,LTD.",コーエーテクモホールディングス,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1189,20210331,3659,"NEXON Co.,Ltd.",ネクソン,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1245,20210331,3765,"GungHo Online Entertainment,Inc.",ガンホー・オンライン・エンターテイメント,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1248,20210331,3769,"GMO Payment Gateway,Inc.",ＧＭＯペイメントゲートウェイ,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1301,20210331,3861,Oji Holdings Corporation,王子ホールディングス,First Section (Domestic),3150,Pulp and Paper,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1302,20210331,3863,"Nippon Paper Industries Co.,Ltd.",日本製紙,First Section (Domestic),3150,Pulp and Paper,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1352,20210331,3941,"Rengo Co.,Ltd.",レンゴー,First Section (Domestic),3150,Pulp and Paper,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1398,20210331,4004,Showa Denko K.K.,昭和電工,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1399,20210331,4005,"SUMITOMO CHEMICAL COMPANY,LIMITED",住友化学,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1411,20210331,4021,Nissan Chemical Corporation,日産化学,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1420,20210331,4042,TOSOH CORPORATION,東ソー,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1421,20210331,4043,Tokuyama Corporation,トクヤマ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
