Date,6758.T,7203.T,9984.T,^N225,average
2018-06-13,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-14,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-15,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-18,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-19,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-20,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-21,10000,64156.38603358991,10000,10000.0,23539.096508397477
2018-06-22,10000,62296.71716134946,10000,10000.0,23074.179290337364
2018-06-25,10000,63418.72768119632,10000,10000.0,23354.68192029908
2018-06-26,10000,63838.30788610835,10000,10000.0,23459.576971527087
2018-06-27,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-06-28,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-06-29,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-02,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-03,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-04,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-05,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-06,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-09,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-10,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-11,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-12,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-13,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-16,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-17,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-18,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-19,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-20,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-23,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-24,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-25,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-26,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-27,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-30,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-07-31,10000,63908.70643145028,10000,10000.0,23477.17660786257
