Date,Open,High,Low,Close,predict,isbuy
2019-03-29,21228.509765625,21267.25,21149.419921875,21205.810546875,0.6104426187936339,True
2019-04-01,21500.890625,21682.939453125,21471.119140625,21509.029296875,0.5079849129323245,True
2019-04-02,21744.640625,21744.640625,21490.560546875,21505.310546875,0.5402450249137546,True
2019-04-03,21563.640625,21722.720703125,21489.94921875,21713.2109375,0.529012552082693,True
2019-04-04,21724.689453125,21787.599609375,21662.900390625,21724.94921875,0.49710555051422795,False
2019-04-05,21743.140625,21839.1796875,21731.33984375,21807.5,0.47508774037543683,False
2019-04-08,21900.55078125,21900.55078125,21740.529296875,21761.650390625,0.48386421457750667,False
2019-04-09,21750.2890625,21811.880859375,21698.419921875,21802.58984375,0.4459315253823982,False
2019-04-10,21579.6796875,21687.5703125,21571.669921875,21687.5703125,0.5610137761815844,True
2019-04-11,21662.650390625,21721.419921875,21627.869140625,21711.380859375,0.5436863608637265,True
2019-04-12,21782.349609375,21878.779296875,21698.7109375,21870.560546875,0.5210486022211169,True
2019-04-15,22122.970703125,22211.029296875,22102.9296875,22169.109375,0.5886958121926948,True
2019-04-16,22108.150390625,22261.330078125,22095.3203125,22221.66015625,0.5568624083163595,True
2019-04-17,22236.41015625,22345.189453125,22185.869140625,22277.970703125,0.5962845288466804,True
2019-04-18,22274.130859375,22305.630859375,22058.390625,22090.119140625,0.4901844433007533,False
2019-04-19,22238.0703125,22250.369140625,22162.23046875,22200.560546875,0.26445648787079357,False
2019-04-22,22188.619140625,22280.189453125,22099.380859375,22217.900390625,0.4945540768883179,False
2019-04-23,22241.740234375,22268.369140625,22119.939453125,22259.740234375,0.5106957391664751,True
2019-04-24,22356.830078125,22362.919921875,22125.48046875,22200.0,0.55078406851207,True
2019-04-25,22183.3203125,22334.689453125,22155.23046875,22307.580078125,0.4929038574186419,False
2019-04-26,22167.48046875,22270.2890625,22073.099609375,22258.73046875,0.5163867634422467,True
2019-05-07,22184.400390625,22190.490234375,21875.109375,21923.720703125,0.41307599772586395,False
2019-05-08,21628.0390625,21639.119140625,21514.849609375,21602.58984375,0.5402169295635657,True
